ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;MUNICIPIO_COMPLEXO;UF_COMPLEXO;NOME_EXIBIDOR
155;4;8;8;SIM;SIM;NÃO;CINE K MARATAIZES;MARATAÍZES;ES;CINEMATOGRÁFICA MARATAÍZES LTDA
346;7;7;8;SIM;SIM;NÃO;CINEFLIX NATAL;NATAL;RN;MOVIESYSTEM CINEMATOGRAFICA LTDA
638;6;6;8;SIM;SIM;NÃO;CINE TEATRO DO PARQUE;RECIFE;PE;FUNDAÇÃO DE CULTURA CIDADE DO RECIFE
242;6;6;8;SIM;SIM;NÃO;MULTIPLEX PARK BOTUCATU;BOTUCATU;SP;MSA EMPRESA CINEMATOGRÁFICA LTDA
224;6;6;8;SIM;NÃO;SIM;REDECINE TOTAL PELOTAS;PELOTAS;RS;REDECINE TOTAL CINEMATOGRÁFICA LTDA
383;8;4;8;SIM;NÃO;SIM;2120 CINEMARK MOGI DAS CRUZES;MOGI DAS CRUZES;SP;CINEMARK BRASIL S.A
372;8;4;8;SIM;NÃO;SIM;2117 CINEMARK VILA VELHA;VILA VELHA;ES;CINEMARK BRASIL S.A
353;8;4;8;SIM;NÃO;SIM;2120 CINEMARK MOGI DAS CRUZES;MOGI DAS CRUZES;SP;CINEMARK BRASIL S.A
305;6;4;8;SIM;NÃO;SIM;2117 CINEMARK VILA VELHA;VILA VELHA;ES;CINEMARK BRASIL S.A
173;6;4;8;SIM;NÃO;SIM;CENTERPLEX MACEIÓ;MACEIÓ;AL;EMPRESA CENTERPLEX DE CINEMAS LTDA
150;4;4;8;SIM;SIM;SIM;JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO;CÓRREGO FUNDO;MG;JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME
360;4;1;8;NÃO;NÃO;SIM;CINEPLUS XAXIM;CURITIBA;PR;VITOMAQ PRODUÇÕES ARTISTICAS E CINEMA LTDA - ME
202;4;1;8;NÃO;NÃO;SIM;CINEPLUS CASTRO;CASTRO;PR;ESTILO PRODUÇÕES ARTISTICAS LTDA
101;3;1;8;NÃO;NÃO;SIM;CINEPLUS CASTRO;CASTRO;PR;ESTILO PRODUÇÕES ARTISTICAS LTDA
361;8;0;8;SIM;NÃO;SIM;CINESYSTEM ARAPIRACA;ARAPIRACA;AL;REDECINE BRA CINEMATOGRÁFICA S.A.
242;5;0;8;SIM;SIM;NÃO;CINEFLIX - BRASÍLIA;BRASÍLIA;DF;MOVIESYSTEM CINEMATOGRAFICA LTDA
429;7;10;7;SIM;NÃO;SIM;REDECINE HORTOLANDIA;HORTOLÂNDIA;SP;REDECINE BRA CINEMATOGRÁFICA S.A.
337;7;7;7;SIM;SIM;NÃO;CINEFLIX NATAL;NATAL;RN;MOVIESYSTEM CINEMATOGRAFICA LTDA
157;3;2;7;SIM;SIM;NÃO;CINEPLUS CITY CENTER;CAMPO LARGO;PR;VITOMAQ PRODUÇÕES ARTISTICAS E CINEMA LTDA - ME
120;2;2;7;NÃO;NÃO;SIM;CINEPLUS FAZENDA;FAZENDA RIO GRANDE;PR;CINELUZ CINEMA LTDA
107;2;0;7;SIM;NÃO;SIM;SALADEARTE CINEMA DA UFBA;SALVADOR;BA;CINEMA E ARTE PRODUÇÕES LTDA
289;6;15;6;SIM;NÃO;SIM;REDECINE HORTOLANDIA;HORTOLÂNDIA;SP;REDECINE BRA CINEMATOGRÁFICA S.A.
327;6;9;6;SIM;NÃO;SIM;REDECINE HORTOLANDIA;HORTOLÂNDIA;SP;REDECINE BRA CINEMATOGRÁFICA S.A.
225;6;9;6;SIM;NÃO;SIM;REDECINE HORTOLANDIA;HORTOLÂNDIA;SP;REDECINE BRA CINEMATOGRÁFICA S.A.
413;8;8;6;SIM;NÃO;SIM;GNC PRAIA DE BELAS;PORTO ALEGRE;RS;PRAIA DE BELAS EMPREENDIMENTOS CINEMATOGRÁFICOS LTDA
389;8;8;6;SIM;NÃO;NÃO;CINEMAS CARUARU;CARUARU;PE;EMPRESA DE CINEMAS FORTALEZA LTDA
129;2;8;6;SIM;SIM;NÃO;GRUPOCINE SUMARÉ;SUMARÉ;SP;EMPRESA CINEMATOGRAFICA BOMBOCINE LTDA
225;87;7;6;NÃO;NÃO;SIM;CENTERPLEX MACEIÓ;MACEIÓ;AL;EMPRESA CENTERPLEX DE CINEMAS LTDA
550;11;6;6;SIM;NÃO;SIM;EMPRESA CINEMATOGRÁFICA LARGO DO AROUCHE;SÃO PAULO;SP;EMPRESA CINEMATOGRAFICA FORMOSA LTDA
300;10;6;6;SIM;SIM;NÃO;COMPLEXO PARQUE DE APIPUCOS;RECIFE;PE;VIVA COPAN ENTRETENIMENTO E ADMINISTRACAO LTDA.
600;6;6;6;SIM;NÃO;SIM;CINE DOM JOSÉ;SÃO PAULO;SP;F. J. CINES LTDA
272;6;6;6;SIM;SIM;NÃO;CINEFLIX - CIDADE;MARINGÁ;PR;MOVIESYSTEM CINEMATOGRAFICA LTDA
265;6;6;6;SIM;SIM;NÃO;CINEFLIX CUIABÁ;CUIABÁ;MT;MOVIESYSTEM CINEMATOGRAFICA LTDA
